index,German,IPA,English,Topic
609,über das Einzelzimmer ist wichtig sprechen,/yber das aɪntseltsimmer ist viçtig spreçen/,to talk about the single room is important,13 Travel and Accommodation
610,über das Doppelzimmer ist wichtig sprechen,/yber das doppeltsimmer ist viçtig spreçen/,to talk about the double room is important,13 Travel and Accommodation
611,über die Übernachtung ist wichtig sprechen,/yber diː ybernaçtuŋ ist viçtig spreçen/,to talk about the overnight stay is important,13 Travel and Accommodation
612,über der Aufenthalt ist wichtig sprechen,/yber der aʊfenthalt ist viçtig spreçen/,to talk about the stay is important,13 Travel and Accommodation
613,über der Reisepass ist wichtig sprechen,/yber der raɪsepass ist viçtig spreçen/,to talk about the passport is important,13 Travel and Accommodation
614,über der Koffer ist wichtig sprechen,/yber der koffer ist viçtig spreçen/,to talk about the suitcase is important,13 Travel and Accommodation
615,über das Gepäck ist wichtig sprechen,/yber das gepɛck ist viçtig spreçen/,to talk about the luggage is important,13 Travel and Accommodation
616,über die Buchung sprechen,/yber diː buçuŋ spreçen/,to talk about booking,13 Travel and Accommodation
617,über die Jugendherberge sprechen,/yber diː jugendherberge spreçen/,to talk about youth hostel,13 Travel and Accommodation
618,über die Pension sprechen,/yber diː pension spreçen/,to talk about guesthouse,13 Travel and Accommodation
619,über die Bestätigung sprechen,/yber diː bestɛtiguŋ spreçen/,to talk about confirmation,13 Travel and Accommodation
620,wirklich inklusive,/virkliç inklusive/,really included,13 Travel and Accommodation
621,über die Halbpension sprechen,/yber diː halbpension spreçen/,to talk about half board,13 Travel and Accommodation
622,ein Zimmer reservieren können,/aɪn tsimmer reserviːren kønnen/,to be able to reserve a room,13 Travel and Accommodation
623,Gepäck aufbewahren können,/gepɛck aʊfbevahren kønnen/,to be able to store luggage,13 Travel and Accommodation
624,die Verbindung,/diː verbinduŋ/,connection,14 Transport and Directions
625,ausfallen,/aʊsfallen/,to be cancelled,14 Transport and Directions
626,die Strecke,/diː strecke/,route,14 Transport and Directions
627,die Richtung,/diː riçtuŋ/,direction,14 Transport and Directions
628,abbiegen,/abbiːgen/,to turn,14 Transport and Directions
629,überqueren,/yberqueren/,to cross,14 Transport and Directions
630,gegenüber,/gegenyber/,opposite,14 Transport and Directions
631,entlang,/entlaŋ/,along,14 Transport and Directions
632,vorbei,/vorbaɪ/,past,14 Transport and Directions
633,die Verbindung ist wichtig,/diː verbinduŋ ist viçtig/,the connection is important,14 Transport and Directions
634,die Verspätung ist wichtig,/diː verspɛtuŋ ist viçtig/,the delay is important,14 Transport and Directions
635,der Fahrplan ist wichtig,/der fahrplan ist viçtig/,the timetable is important,14 Transport and Directions
636,die Haltestelle ist wichtig,/diː haltestelle ist viçtig/,the stop is important,14 Transport and Directions
637,der Bahnsteig ist wichtig,/der bahnstaɪg ist viçtig/,the platform is important,14 Transport and Directions
638,die Fahrkarte ist wichtig,/diː fahrkarte ist viçtig/,the ticket is important,14 Transport and Directions
639,die Strecke ist wichtig,/diː strecke ist viçtig/,the route is important,14 Transport and Directions
640,die Abfahrt im Alltag,/diː abfahrt im alltag/,departure in everyday life,14 Transport and Directions
641,die Ankunft im Alltag,/diː ankunft im alltag/,arrival in everyday life,14 Transport and Directions
642,der Anschluss,/der anʃluss/,connection,14 Transport and Directions
643,die Monatskarte,/diː monatskarte/,monthly pass,14 Transport and Directions
644,der Stau,/der staʊ/,traffic jam,14 Transport and Directions
645,die Umleitung,/diː umlaɪtuŋ/,detour,14 Transport and Directions
646,den Zug verpassen,/den tsug verpassen/,to miss the train,14 Transport and Directions
647,an der nächsten Haltestelle aussteigen,/an der nɛçsten haltestelle aʊsstaɪgen/,to get off at the next stop,14 Transport and Directions
648,über die Verbindung sprechen,/yber diː verbinduŋ spreçen/,to talk about connection,14 Transport and Directions
649,ausfallen können,/aʊsfallen kønnen/,to be able to be cancelled,14 Transport and Directions
650,über die Strecke sprechen,/yber diː strecke spreçen/,to talk about route,14 Transport and Directions
651,über die Richtung sprechen,/yber diː riçtuŋ spreçen/,to talk about direction,14 Transport and Directions
652,abbiegen können,/abbiːgen kønnen/,to be able to turn,14 Transport and Directions
653,überqueren können,/yberqueren kønnen/,to be able to cross,14 Transport and Directions
654,wirklich gegenüber,/virkliç gegenyber/,really opposite,14 Transport and Directions
655,wirklich entlang,/virkliç entlaŋ/,really along,14 Transport and Directions
656,wirklich vorbei,/virkliç vorbaɪ/,really past,14 Transport and Directions
657,über die Verbindung ist wichtig sprechen,/yber diː verbinduŋ ist viçtig spreçen/,to talk about the connection is important,14 Transport and Directions
658,über die Verspätung ist wichtig sprechen,/yber diː verspɛtuŋ ist viçtig spreçen/,to talk about the delay is important,14 Transport and Directions
659,über der Fahrplan ist wichtig sprechen,/yber der fahrplan ist viçtig spreçen/,to talk about the timetable is important,14 Transport and Directions
660,über die Haltestelle ist wichtig sprechen,/yber diː haltestelle ist viçtig spreçen/,to talk about the stop is important,14 Transport and Directions
661,über der Bahnsteig ist wichtig sprechen,/yber der bahnstaɪg ist viçtig spreçen/,to talk about the platform is important,14 Transport and Directions
662,über die Fahrkarte ist wichtig sprechen,/yber diː fahrkarte ist viçtig spreçen/,to talk about the ticket is important,14 Transport and Directions
663,über die Strecke ist wichtig sprechen,/yber diː strecke ist viçtig spreçen/,to talk about the route is important,14 Transport and Directions
664,über die Abfahrt sprechen,/yber diː abfahrt spreçen/,to talk about departure,14 Transport and Directions
665,über die Ankunft sprechen,/yber diː ankunft spreçen/,to talk about arrival,14 Transport and Directions
666,über der Anschluss sprechen,/yber der anʃluss spreçen/,to talk about connection,14 Transport and Directions
667,über die Monatskarte sprechen,/yber diː monatskarte spreçen/,to talk about monthly pass,14 Transport and Directions
668,über der Stau sprechen,/yber der staʊ spreçen/,to talk about traffic jam,14 Transport and Directions
669,über die Umleitung sprechen,/yber diː umlaɪtuŋ spreçen/,to talk about detour,14 Transport and Directions
670,den Zug verpassen können,/den tsug verpassen kønnen/,to be able to miss the train,14 Transport and Directions
671,an der nächsten Haltestelle aussteigen können,/an der nɛçsten haltestelle aʊsstaɪgen kønnen/,to be able to get off at the next stop,14 Transport and Directions
672,die Führung,/diː fyhruŋ/,guided tour,15 Holidays and Tourism
673,der Ausflug,/der aʊsflug/,excursion,15 Holidays and Tourism
674,die Küste,/diː kyste/,coast,15 Holidays and Tourism
675,die Landschaft,/diː landʃaft/,landscape,15 Holidays and Tourism
676,das Gebirge,/das gebirge/,mountain range,15 Holidays and Tourism
677,die Aussicht,/diː aʊssiçt/,view,15 Holidays and Tourism
678,entdecken,/entdecken/,to discover,15 Holidays and Tourism
679,sich entspannen,/siç entspannen/,to relax,15 Holidays and Tourism
680,übernachten,/ybernaçten/,to stay overnight,15 Holidays and Tourism
681,der Reiseführer,/der raɪsefyhrer/,travel guide,15 Holidays and Tourism
682,die Sehenswürdigkeit ist wichtig,/diː sehensvyrdigkaɪt ist viçtig/,the sight is important,15 Holidays and Tourism
683,die Führung ist wichtig,/diː fyhruŋ ist viçtig/,the guided tour is important,15 Holidays and Tourism
684,der Ausflug ist wichtig,/der aʊsflug ist viçtig/,the excursion is important,15 Holidays and Tourism
685,die Reise ist wichtig,/diː raɪse ist viçtig/,the trip is important,15 Holidays and Tourism
686,der Urlaub ist wichtig,/der urlaʊb ist viçtig/,the vacation is important,15 Holidays and Tourism
687,die Küste ist wichtig,/diː kyste ist viçtig/,the coast is important,15 Holidays and Tourism
688,die Altstadt,/diː altstadt/,old town,15 Holidays and Tourism
689,das Denkmal,/das denkmal/,monument,15 Holidays and Tourism
690,die Eintrittskarte,/diː aɪntrittskarte/,admission ticket,15 Holidays and Tourism
691,die Öffnungszeit,/diː øffnuŋstsaɪt/,opening time,15 Holidays and Tourism
692,die Rundfahrt,/diː rundfahrt/,tour,15 Holidays and Tourism
693,die Touristeninformation,/diː touristeninformation/,tourist information,15 Holidays and Tourism
694,eine Führung machen,/aɪne fyhruŋ maçen/,to take a guided tour,15 Holidays and Tourism
695,eine Sehenswürdigkeit besichtigen,/aɪne sehensvyrdigkaɪt besiçtigen/,to visit a sight,15 Holidays and Tourism
696,über die Führung sprechen,/yber diː fyhruŋ spreçen/,to talk about guided tour,15 Holidays and Tourism
697,über der Ausflug sprechen,/yber der aʊsflug spreçen/,to talk about excursion,15 Holidays and Tourism
698,über die Küste sprechen,/yber diː kyste spreçen/,to talk about coast,15 Holidays and Tourism
699,über die Landschaft sprechen,/yber diː landʃaft spreçen/,to talk about landscape,15 Holidays and Tourism
700,über das Gebirge sprechen,/yber das gebirge spreçen/,to talk about mountain range,15 Holidays and Tourism
701,über die Aussicht sprechen,/yber diː aʊssiçt spreçen/,to talk about view,15 Holidays and Tourism
702,entdecken können,/entdecken kønnen/,to be able to discover,15 Holidays and Tourism
703,sich entspannen können,/siç entspannen kønnen/,to be able to relax,15 Holidays and Tourism
704,übernachten können,/ybernaçten kønnen/,to be able to stay overnight,15 Holidays and Tourism
705,über der Reiseführer sprechen,/yber der raɪsefyhrer spreçen/,to talk about travel guide,15 Holidays and Tourism
706,über die Sehenswürdigkeit ist wichtig sprechen,/yber diː sehensvyrdigkaɪt ist viçtig spreçen/,to talk about the sight is important,15 Holidays and Tourism
707,über die Führung ist wichtig sprechen,/yber diː fyhruŋ ist viçtig spreçen/,to talk about the guided tour is important,15 Holidays and Tourism
708,über der Ausflug ist wichtig sprechen,/yber der aʊsflug ist viçtig spreçen/,to talk about the excursion is important,15 Holidays and Tourism
709,über die Reise ist wichtig sprechen,/yber diː raɪse ist viçtig spreçen/,to talk about the trip is important,15 Holidays and Tourism
710,über der Urlaub ist wichtig sprechen,/yber der urlaʊb ist viçtig spreçen/,to talk about the vacation is important,15 Holidays and Tourism
711,über die Küste ist wichtig sprechen,/yber diː kyste ist viçtig spreçen/,to talk about the coast is important,15 Holidays and Tourism
712,über die Altstadt sprechen,/yber diː altstadt spreçen/,to talk about old town,15 Holidays and Tourism
713,über das Denkmal sprechen,/yber das denkmal spreçen/,to talk about monument,15 Holidays and Tourism
714,über die Eintrittskarte sprechen,/yber diː aɪntrittskarte spreçen/,to talk about admission ticket,15 Holidays and Tourism
715,über die Öffnungszeit sprechen,/yber diː øffnuŋstsaɪt spreçen/,to talk about opening time,15 Holidays and Tourism
716,über die Rundfahrt sprechen,/yber diː rundfahrt spreçen/,to talk about tour,15 Holidays and Tourism
717,über die Touristeninformation sprechen,/yber diː touristeninformation spreçen/,to talk about tourist information,15 Holidays and Tourism
718,eine Führung machen können,/aɪne fyhruŋ maçen kønnen/,to be able to take a guided tour,15 Holidays and Tourism
719,eine Sehenswürdigkeit besichtigen können,/aɪne sehensvyrdigkaɪt besiçtigen kønnen/,to be able to visit a sight,15 Holidays and Tourism
720,die Vorhersage,/diː vorhersage/,forecast,16 Weather and Environment
721,feucht,/fɔʏçt/,humid,16 Weather and Environment
722,das Gewitter,/das gevitter/,thunderstorm,16 Weather and Environment
723,der Sturm,/der sturm/,storm,16 Weather and Environment
724,der Nebel,/der nebel/,fog,16 Weather and Environment
725,die Umwelt,/diː umvelt/,environment,16 Weather and Environment
726,recyceln,/recyceln/,to recycle,16 Weather and Environment
727,Energie sparen,/energiː sparen/,to save energy,16 Weather and Environment
728,die Verschmutzung,/diː verʃmuttsuŋ/,pollution,16 Weather and Environment
729,die Temperatur ist wichtig,/diː temperatur ist viçtig/,the temperature is important,16 Weather and Environment
730,der Grad ist wichtig,/der grad ist viçtig/,the degree is important,16 Weather and Environment
731,die Vorhersage ist wichtig,/diː vorhersage ist viçtig/,the forecast is important,16 Weather and Environment
732,das Gewitter ist wichtig,/das gevitter ist viçtig/,the thunderstorm is important,16 Weather and Environment
733,der Sturm ist wichtig,/der sturm ist viçtig/,the storm is important,16 Weather and Environment
734,der Nebel ist wichtig,/der nebel ist viçtig/,the fog is important,16 Weather and Environment
735,die Umwelt ist wichtig,/diː umvelt ist viçtig/,the environment is important,16 Weather and Environment
736,der Klimawandel,/der klimavandel/,climate change,16 Weather and Environment
737,der Abfall,/der abfall/,waste,16 Weather and Environment
738,die Mülltrennung,/diː mylltrennuŋ/,waste separation,16 Weather and Environment
739,umweltfreundlich,/umveltfrɔʏndliç/,environmentally friendly,16 Weather and Environment
740,die Hitze,/diː hittse/,heat,16 Weather and Environment
741,die Kälte,/diː kɛlte/,cold,16 Weather and Environment
742,Müll trennen,/myll trennen/,to separate waste,16 Weather and Environment
743,der Wetterbericht,/der vetterberiçt/,weather report,16 Weather and Environment
744,über die Vorhersage sprechen,/yber diː vorhersage spreçen/,to talk about forecast,16 Weather and Environment
745,wirklich feucht,/virkliç fɔʏçt/,really humid,16 Weather and Environment
746,über das Gewitter sprechen,/yber das gevitter spreçen/,to talk about thunderstorm,16 Weather and Environment
747,über der Sturm sprechen,/yber der sturm spreçen/,to talk about storm,16 Weather and Environment
748,über der Nebel sprechen,/yber der nebel spreçen/,to talk about fog,16 Weather and Environment
749,über die Umwelt sprechen,/yber diː umvelt spreçen/,to talk about environment,16 Weather and Environment
750,recyceln können,/recyceln kønnen/,to be able to recycle,16 Weather and Environment
751,Energie sparen können,/energiː sparen kønnen/,to be able to save energy,16 Weather and Environment
752,über die Verschmutzung sprechen,/yber diː verʃmuttsuŋ spreçen/,to talk about pollution,16 Weather and Environment
753,über die Temperatur ist wichtig sprechen,/yber diː temperatur ist viçtig spreçen/,to talk about the temperature is important,16 Weather and Environment
754,über der Grad ist wichtig sprechen,/yber der grad ist viçtig spreçen/,to talk about the degree is important,16 Weather and Environment
755,über die Vorhersage ist wichtig sprechen,/yber diː vorhersage ist viçtig spreçen/,to talk about the forecast is important,16 Weather and Environment
756,über das Gewitter ist wichtig sprechen,/yber das gevitter ist viçtig spreçen/,to talk about the thunderstorm is important,16 Weather and Environment
757,über der Sturm ist wichtig sprechen,/yber der sturm ist viçtig spreçen/,to talk about the storm is important,16 Weather and Environment
758,über der Nebel ist wichtig sprechen,/yber der nebel ist viçtig spreçen/,to talk about the fog is important,16 Weather and Environment
759,über die Umwelt ist wichtig sprechen,/yber diː umvelt ist viçtig spreçen/,to talk about the environment is important,16 Weather and Environment
760,über der Klimawandel sprechen,/yber der klimavandel spreçen/,to talk about climate change,16 Weather and Environment
761,über der Abfall sprechen,/yber der abfall spreçen/,to talk about waste,16 Weather and Environment
762,über die Mülltrennung sprechen,/yber diː mylltrennuŋ spreçen/,to talk about waste separation,16 Weather and Environment
763,wirklich umweltfreundlich,/virkliç umveltfrɔʏndliç/,really environmentally friendly,16 Weather and Environment
764,über die Hitze sprechen,/yber diː hittse spreçen/,to talk about heat,16 Weather and Environment
765,über die Kälte sprechen,/yber diː kɛlte spreçen/,to talk about cold,16 Weather and Environment
766,Müll trennen können,/myll trennen kønnen/,to be able to separate waste,16 Weather and Environment
767,über der Wetterbericht sprechen,/yber der vetterberiçt spreçen/,to talk about weather report,16 Weather and Environment
768,sammeln,/sammeln/,to collect,17 Leisure and Hobbies
769,campen,/campen/,to camp,17 Leisure and Hobbies
770,grillen,/grillen/,to barbecue,17 Leisure and Hobbies
771,ausgehen,/aʊsgehen/,to go out,17 Leisure and Hobbies
772,die Veranstaltung,/diː veranstaltuŋ/,event,17 Leisure and Hobbies
773,das Konzert,/das kontsert/,concert,17 Leisure and Hobbies
774,die Ausstellung,/diː aʊsstelluŋ/,exhibition,17 Leisure and Hobbies
775,der Verein,/der veraɪn/,club,17 Leisure and Hobbies
776,mitmachen,/mitmaçen/,to join in,17 Leisure and Hobbies
777,sich interessieren für,/siç interessiːren fyr/,to be interested in,17 Leisure and Hobbies
778,die Freizeit ist wichtig,/diː fraɪtsaɪt ist viçtig/,the free time is important,17 Leisure and Hobbies
779,die Veranstaltung ist wichtig,/diː veranstaltuŋ ist viçtig/,the event is important,17 Leisure and Hobbies
780,das Konzert ist wichtig,/das kontsert ist viçtig/,the concert is important,17 Leisure and Hobbies
781,die Ausstellung ist wichtig,/diː aʊsstelluŋ ist viçtig/,the exhibition is important,17 Leisure and Hobbies
782,der Verein ist wichtig,/der veraɪn ist viçtig/,the club is important,17 Leisure and Hobbies
783,das Hobby im Alltag,/das hobby im alltag/,hobby in everyday life,17 Leisure and Hobbies
784,die Freizeitaktivität,/diː fraɪtsaɪtaktivitɛt/,leisure activity,17 Leisure and Hobbies
785,Spaß haben im Alltag,/spas haben im alltag/,to have fun in everyday life,17 Leisure and Hobbies
786,sich langweilen,/siç laŋvaɪlen/,to be bored,17 Leisure and Hobbies
787,das Brettspiel,/das brettspiːl/,board game,17 Leisure and Hobbies
788,die Gruppe,/diː gruppe/,group,17 Leisure and Hobbies
789,Zeit mit Freunden verbringen,/tsaɪt mit frɔʏnden verbriŋen/,to spend time with friends,17 Leisure and Hobbies
790,an einer Veranstaltung teilnehmen,/an aɪner veranstaltuŋ taɪlnehmen/,to attend an event,17 Leisure and Hobbies
791,die Beschäftigung,/diː beʃɛftiguŋ/,activity,17 Leisure and Hobbies
792,sammeln können,/sammeln kønnen/,to be able to collect,17 Leisure and Hobbies
793,campen können,/campen kønnen/,to be able to camp,17 Leisure and Hobbies
794,grillen können,/grillen kønnen/,to be able to barbecue,17 Leisure and Hobbies
795,ausgehen können,/aʊsgehen kønnen/,to be able to go out,17 Leisure and Hobbies
796,über die Veranstaltung sprechen,/yber diː veranstaltuŋ spreçen/,to talk about event,17 Leisure and Hobbies
797,über das Konzert sprechen,/yber das kontsert spreçen/,to talk about concert,17 Leisure and Hobbies
798,über die Ausstellung sprechen,/yber diː aʊsstelluŋ spreçen/,to talk about exhibition,17 Leisure and Hobbies
799,über der Verein sprechen,/yber der veraɪn spreçen/,to talk about club,17 Leisure and Hobbies
800,mitmachen können,/mitmaçen kønnen/,to be able to join in,17 Leisure and Hobbies
801,sich interessieren für können,/siç interessiːren fyr kønnen/,to be able to be interested in,17 Leisure and Hobbies
802,über die Freizeit ist wichtig sprechen,/yber diː fraɪtsaɪt ist viçtig spreçen/,to talk about the free time is important,17 Leisure and Hobbies
803,über die Veranstaltung ist wichtig sprechen,/yber diː veranstaltuŋ ist viçtig spreçen/,to talk about the event is important,17 Leisure and Hobbies
804,über das Konzert ist wichtig sprechen,/yber das kontsert ist viçtig spreçen/,to talk about the concert is important,17 Leisure and Hobbies
805,über die Ausstellung ist wichtig sprechen,/yber diː aʊsstelluŋ ist viçtig spreçen/,to talk about the exhibition is important,17 Leisure and Hobbies
806,über der Verein ist wichtig sprechen,/yber der veraɪn ist viçtig spreçen/,to talk about the club is important,17 Leisure and Hobbies
807,über das Hobby sprechen,/yber das hobby spreçen/,to talk about hobby,17 Leisure and Hobbies
808,über die Freizeitaktivität sprechen,/yber diː fraɪtsaɪtaktivitɛt spreçen/,to talk about leisure activity,17 Leisure and Hobbies
809,Spaß haben können,/spas haben kønnen/,to be able to have fun,17 Leisure and Hobbies
810,sich langweilen können,/siç laŋvaɪlen kønnen/,to be able to be bored,17 Leisure and Hobbies
811,über das Brettspiel sprechen,/yber das brettspiːl spreçen/,to talk about board game,17 Leisure and Hobbies
812,über die Gruppe sprechen,/yber diː gruppe spreçen/,to talk about group,17 Leisure and Hobbies
813,Zeit mit Freunden verbringen können,/tsaɪt mit frɔʏnden verbriŋen kønnen/,to be able to spend time with friends,17 Leisure and Hobbies
814,an einer Veranstaltung teilnehmen können,/an aɪner veranstaltuŋ taɪlnehmen kønnen/,to be able to attend an event,17 Leisure and Hobbies
815,über die Beschäftigung sprechen,/yber diː beʃɛftiguŋ spreçen/,to talk about activity,17 Leisure and Hobbies
816,das Training,/das trainiŋ/,training,18 Sports and Fitness
817,der Wettbewerb,/der vettbeverb/,competition,18 Sports and Fitness
818,das Ergebnis,/das ergebnis/,result,18 Sports and Fitness
819,der Spieler,/der spiːler/,player,18 Sports and Fitness
820,die Spielerin,/diː spiːlerin/,player,18 Sports and Fitness
821,der Trainer,/der trainer/,coach,18 Sports and Fitness
822,sich bewegen,/siç bevegen/,to exercise,18 Sports and Fitness
823,sich aufwärmen,/siç aʊfvɛrmen/,to warm up,18 Sports and Fitness
824,die Übung,/diː ybuŋ/,exercise,18 Sports and Fitness
825,die Kondition,/diː kondition/,fitness,18 Sports and Fitness
826,das Training ist wichtig,/das trainiŋ ist viçtig/,the training is important,18 Sports and Fitness
827,die Mannschaft ist wichtig,/diː mannʃaft ist viçtig/,the team is important,18 Sports and Fitness
828,der Wettbewerb ist wichtig,/der vettbeverb ist viçtig/,the competition is important,18 Sports and Fitness
829,das Ergebnis ist wichtig,/das ergebnis ist viçtig/,the result is important,18 Sports and Fitness
830,der Spieler ist wichtig,/der spiːler ist viçtig/,the player is important,18 Sports and Fitness
831,die Spielerin ist wichtig,/diː spiːlerin ist viçtig/,the player is important,18 Sports and Fitness
832,das Turnier,/das turniːr/,tournament,18 Sports and Fitness
833,der Gegner,/der gegner/,opponent,18 Sports and Fitness
834,das Spiel im Alltag,/das spiːl im alltag/,match in everyday life,18 Sports and Fitness
835,der Punkt,/der punkt/,point,18 Sports and Fitness
836,die Ausdauer,/diː aʊsdaʊer/,endurance,18 Sports and Fitness
837,die Bewegung,/diː beveguŋ/,movement,18 Sports and Fitness
838,Sport treiben,/sport traɪben/,to do sports,18 Sports and Fitness
839,sich für einen Kurs anmelden,/siç fyr aɪnen kurs anmelden/,to sign up for a course,18 Sports and Fitness
840,über das Training sprechen,/yber das trainiŋ spreçen/,to talk about training,18 Sports and Fitness
841,über der Wettbewerb sprechen,/yber der vettbeverb spreçen/,to talk about competition,18 Sports and Fitness
842,über das Ergebnis sprechen,/yber das ergebnis spreçen/,to talk about result,18 Sports and Fitness
843,über der Spieler sprechen,/yber der spiːler spreçen/,to talk about player,18 Sports and Fitness
844,über die Spielerin sprechen,/yber diː spiːlerin spreçen/,to talk about player,18 Sports and Fitness
845,über der Trainer sprechen,/yber der trainer spreçen/,to talk about coach,18 Sports and Fitness
846,sich bewegen können,/siç bevegen kønnen/,to be able to exercise,18 Sports and Fitness
847,sich aufwärmen können,/siç aʊfvɛrmen kønnen/,to be able to warm up,18 Sports and Fitness
848,über die Übung sprechen,/yber diː ybuŋ spreçen/,to talk about exercise,18 Sports and Fitness
849,über die Kondition sprechen,/yber diː kondition spreçen/,to talk about fitness,18 Sports and Fitness
850,über das Training ist wichtig sprechen,/yber das trainiŋ ist viçtig spreçen/,to talk about the training is important,18 Sports and Fitness
851,über die Mannschaft ist wichtig sprechen,/yber diː mannʃaft ist viçtig spreçen/,to talk about the team is important,18 Sports and Fitness
852,über der Wettbewerb ist wichtig sprechen,/yber der vettbeverb ist viçtig spreçen/,to talk about the competition is important,18 Sports and Fitness
853,über das Ergebnis ist wichtig sprechen,/yber das ergebnis ist viçtig spreçen/,to talk about the result is important,18 Sports and Fitness
854,über der Spieler ist wichtig sprechen,/yber der spiːler ist viçtig spreçen/,to talk about the player is important,18 Sports and Fitness
855,über die Spielerin ist wichtig sprechen,/yber diː spiːlerin ist viçtig spreçen/,to talk about the player is important,18 Sports and Fitness
856,über das Turnier sprechen,/yber das turniːr spreçen/,to talk about tournament,18 Sports and Fitness
857,über der Gegner sprechen,/yber der gegner spreçen/,to talk about opponent,18 Sports and Fitness
858,über das Spiel sprechen,/yber das spiːl spreçen/,to talk about match,18 Sports and Fitness
859,über der Punkt sprechen,/yber der punkt spreçen/,to talk about point,18 Sports and Fitness
860,über die Ausdauer sprechen,/yber diː aʊsdaʊer spreçen/,to talk about endurance,18 Sports and Fitness
861,über die Bewegung sprechen,/yber diː beveguŋ spreçen/,to talk about movement,18 Sports and Fitness
862,Sport treiben können,/sport traɪben kønnen/,to be able to do sports,18 Sports and Fitness
863,sich für einen Kurs anmelden können,/siç fyr aɪnen kurs anmelden kønnen/,to be able to sign up for a course,18 Sports and Fitness
864,die Sendung,/diː senduŋ/,program,19 Media and Entertainment
865,die Nachrichten,/diː naçriçten/,news,19 Media and Entertainment
866,der Bericht,/der beriçt/,report,19 Media and Entertainment
867,die Serie,/diː seriː/,series,19 Media and Entertainment
868,die Folge,/diː folge/,episode,19 Media and Entertainment
869,der Schauspieler,/der ʃaʊspiːler/,actor,19 Media and Entertainment
870,die Schauspielerin,/diː ʃaʊspiːlerin/,actress,19 Media and Entertainment
871,die Handlung,/diː handluŋ/,plot,19 Media and Entertainment
872,spannend,/spannend/,exciting,19 Media and Entertainment
873,langweilig,/laŋvaɪlig/,boring,19 Media and Entertainment
874,unterhaltsam,/unterhaltsam/,entertaining,19 Media and Entertainment
875,empfehlen,/empfehlen/,to recommend,19 Media and Entertainment
876,anschauen,/anʃaʊen/,to watch,19 Media and Entertainment
877,veröffentlichen,/verøffentliçen/,to publish,19 Media and Entertainment
878,die Sendung ist wichtig,/diː senduŋ ist viçtig/,the program is important,19 Media and Entertainment
879,die Nachrichten ist wichtig,/diː naçriçten ist viçtig/,the news is important,19 Media and Entertainment
880,die Werbung,/diː verbuŋ/,advertisement,19 Media and Entertainment
881,der Sender,/der sender/,channel,19 Media and Entertainment
882,die Dokumentation,/diː dokumentation/,documentary,19 Media and Entertainment
883,die Meldung,/diː melduŋ/,news item,19 Media and Entertainment
884,die Überschrift,/diː yberʃrift/,headline,19 Media and Entertainment
885,das Interview,/das interviːv/,interview,19 Media and Entertainment
886,Nachrichten ansehen,/naçriçten ansehen/,to watch the news,19 Media and Entertainment
887,einen Film empfehlen,/aɪnen film empfehlen/,to recommend a film,19 Media and Entertainment
888,über die Sendung sprechen,/yber diː senduŋ spreçen/,to talk about program,19 Media and Entertainment
889,über die Nachrichten sprechen,/yber diː naçriçten spreçen/,to talk about news,19 Media and Entertainment
890,über der Bericht sprechen,/yber der beriçt spreçen/,to talk about report,19 Media and Entertainment
891,über die Serie sprechen,/yber diː seriː spreçen/,to talk about series,19 Media and Entertainment
892,über die Folge sprechen,/yber diː folge spreçen/,to talk about episode,19 Media and Entertainment
893,über der Schauspieler sprechen,/yber der ʃaʊspiːler spreçen/,to talk about actor,19 Media and Entertainment
894,über die Schauspielerin sprechen,/yber diː ʃaʊspiːlerin spreçen/,to talk about actress,19 Media and Entertainment
895,über die Handlung sprechen,/yber diː handluŋ spreçen/,to talk about plot,19 Media and Entertainment
896,wirklich spannend,/virkliç spannend/,really exciting,19 Media and Entertainment
897,wirklich langweilig,/virkliç laŋvaɪlig/,really boring,19 Media and Entertainment
898,wirklich unterhaltsam,/virkliç unterhaltsam/,really entertaining,19 Media and Entertainment
899,empfehlen können,/empfehlen kønnen/,to be able to recommend,19 Media and Entertainment
900,anschauen können,/anʃaʊen kønnen/,to be able to watch,19 Media and Entertainment
901,veröffentlichen können,/verøffentliçen kønnen/,to be able to publish,19 Media and Entertainment
902,über die Sendung ist wichtig sprechen,/yber diː senduŋ ist viçtig spreçen/,to talk about the program is important,19 Media and Entertainment
903,über die Nachrichten ist wichtig sprechen,/yber diː naçriçten ist viçtig spreçen/,to talk about the news is important,19 Media and Entertainment
904,über die Werbung sprechen,/yber diː verbuŋ spreçen/,to talk about advertisement,19 Media and Entertainment
905,über der Sender sprechen,/yber der sender spreçen/,to talk about channel,19 Media and Entertainment
906,über die Dokumentation sprechen,/yber diː dokumentation spreçen/,to talk about documentary,19 Media and Entertainment
907,über die Meldung sprechen,/yber diː melduŋ spreçen/,to talk about news item,19 Media and Entertainment
908,über die Überschrift sprechen,/yber diː yberʃrift spreçen/,to talk about headline,19 Media and Entertainment
909,über das Interview sprechen,/yber das interviːv spreçen/,to talk about interview,19 Media and Entertainment
910,Nachrichten ansehen können,/naçriçten ansehen kønnen/,to be able to watch the news,19 Media and Entertainment
911,einen Film empfehlen können,/aɪnen film empfehlen kønnen/,to be able to recommend a film,19 Media and Entertainment
912,herunterladen,/herunterladen/,to download,20 Technology and Internet
913,hochladen,/hoçladen/,to upload,20 Technology and Internet
914,der Benutzername,/der benuttsername/,username,20 Technology and Internet
915,das Netzwerk,/das nettsverk/,network,20 Technology and Internet
